Company,Job Title,Required Skills,Experience,Qualification
Squareroot Consulting Pvt Ltd.,Data Architect,"['Java', 'Shell Scripting', 'Hadoop', 'Big Data', 'Data Mining', 'Perl', 'Distributed Systems', 'Microservices']",8-13 Yrs,"['B.Tech/B.E. in Computers', 'MCA in Computers, M.Tech in Computers', 'Ph.D/Doctorate in Computers']"
Yo HR Consultancy,Deputy Divisional Head - SMS Operations,"['SMS Operations', 'LRF', 'Ladle Refining furnace', 'EAF', 'Electric arc furnace', 'New Product development']",7-12 Yrs,"['Any Graduate', 'Any Postgraduate', 'Doctorate Not Required']"
Jeyam Consulting,Vice President / Director - Operations,"['Business development', 'Business Strategy', 'project management', 'Sales development', 'Business Operations']",15-25 Yrs,"['B.Tech/B.E. in Chemical', 'MBA/PGDM in Any Specialization', 'Doctorate Not Required']"
HR Ace,Solution Architect Growth,"['Market updates', 'Competitive products', 'Telecom service solutions', 'Delivery process', 'telecom', 'CCNA', 'CCNP']",10-12 Yrs,"['B.Tech/B.E. in Any Specialization', 'M.Tech in Any Specialization']"
Talent  Corner HR Services Pvt Ltd,R&D- Manager (Silvassa)- Lubricants,"['R&D', 'Formulation', 'Lubricants']",10-20 Yrs,"['B.Sc in Bio-Chemistry, Chemistry']"
SMART SOOURCE ,Cloud Software Developer ( Java / AWS/ Spring Boot / Microservices  ),"['spring boot', 'java', 'AWS', 'microservices', 'Cloud', 'kafka', 'scalability', 'Elastic Search']",5-10 Yrs,['B.Tech/B.E. in Any Specialization']
SMART SOOURCE ,Cloud Software Architect ( Java / AWS / Microservices / Spring Boot ),"['architectural design', 'java', 'Cloud', 'AWS', 'architecture', 'IT Skills', 'Software Development', 'Product Management']",15-24 Yrs,['B.Tech/B.E. in Any Specialization']
Squareroot Consulting Pvt Ltd.,Senior/ Java Developer,"['scalable', 'Java', 'Angularjs', 'Hibernate', 'J2Ee', 'Spring', 'Groovy', 'microservices']",3-6 Yrs,"['Any Graduate', 'Any Postgraduate', 'Any Doctorate']"
ShiningStars Institutions and Travels Pvt. Ltd. ,Assistant Quality Manager,"['quality management', 'quality control', 'bpo', 'auditing', 'internal audit']",2-6 Yrs,['Any Graduate']
SKILLVENTORY,Hiring For Bank : Market Head : BNPL : Mumbai,"['Social Media', 'Customer Segmentation', 'Web Technologies', 'Digital Campaigns', 'Digital Marketing', 'Digital Strategy', 'Facebook Marketing', 'SEO']",6-10 Yrs,['MBA/PGDM in Any Specialization']
SKILLVENTORY,Hiring For Bank : Market Head : BNPL(buy now pay later) : Mumbai,"['Social Media', 'Customer Segmentation', 'Web Technologies', 'Digital Campaigns', 'Digital Marketing', 'Digital Strategy', 'Facebook Marketing', 'SEO']",6-11 Yrs,['MBA/PGDM in Any Specialization']
Squareroot Consulting Pvt Ltd.,Java Architect/Senior Architect - Microservice/AWS,"['Java', 'Scalability', 'Web Technologies', 'SAAS', 'Web Application Development', 'Perl', 'Distributed Systems', 'Algorithm']",10-15 Yrs,"['Any Graduate', 'Any Postgraduate', 'Other Doctorate']"
Hikaho System Private limited,CAD Specialist,"['Design', 'AutoCAD', 'Creo', 'Product Development', 'Detailing', 'Plastic', 'Sheet Metal', 'New product development']",1-6 Yrs,"['B.Tech/B.E. in Mechanical, Diploma in Mechanical']"
Orcapod Consulting Services Private Limited,PTC Thingworx,['PTC Thingworx'],4-8 Yrs,"['Any Graduate', 'Any Postgraduate']"
Emmess technologies private Limited ,Android Developer,"['Android Application Development', 'mobile development', 'json', 'SDK', 'Rest API', 'IT Skills', 'Software Development', 'Testing']",1-3 Yrs,[]
LIVE CONNECTIONS ,Regulatory Affairs,"['Regulatory Affairs', 'Investigator Brochure', 'Protocol', 'Clinical Study Report']",3-8 Yrs,"['Any Graduate', 'Any Postgraduate']"
SAHANA INFORMATION ,Electrical induction motor designer,"['TEAM CENTRE', 'NAVISION', 'speed', 'ACAD', 'RMXprt', 'SAP', 'EMTP', 'Simuling']",5-10 Yrs,"['Diploma in Electrical, Electronics/Telecommunication, B.Tech/B.E. in Production/Industrial, Instrumentation, Electrical']"
JOBS EXPERT PRIVATE LIMITED  ,Fullstack Software Developer / Java / Struts / Angular,"['Fullstack Development', 'agile methodology', 'Java', 'Struts 2', 'angular', 'troubleshooting', 'Springboot', 'communication']",5-10 Yrs,['Any Graduate']
